3179	175	2161	25	1
0	0	138	138	0
244776	0	32770	8649	0
15744	18154	1400	80	1
7895	244	1806	25	1
2932	3500	1723	1060	1
95300	37891	1160	80	1
1	0	445	4537	1
550	0	36120	59879	1
0	0	1210	1434	0
544	0	137	137	0
0	0	138	138	0
150	0	137	137	0
0	0	1036	1434	0
0	0	3379	1434	0
272	4385	1428	80	1
0	0	2400	5900	1
0	0	2410	5900	1
0	0	2410	5900	1
0	0	2400	5900	1
0	0	2410	5900	1
0	0	2400	5900	1
0	0	2527	5900	1
0	0	2528	5900	1
0	0	2529	5900	1
4	0	445	1457	1
4	0	445	2028	1
4	0	445	1819	1
96	96	123	123	0
1120500	31374	8	0	2
0	0	4677	10281	1
0	0	4677	10281	1
0	0	1060	1434	0
4	0	445	4403	1
0	0	59435	1026	0
0	0	59435	1027	0
0	0	59435	1026	0
0	0	59435	1027	0
0	0	59435	1026	0
0	0	59435	1026	0
0	0	59435	1027	0
0	0	59435	1026	0
0	0	59435	1026	0
0	0	59435	1027	0
0	0	59435	1027	0
0	0	59435	1026	0
0	0	59435	1027	0
0	0	59435	1026	0
0	0	59435	1027	0
0	0	59435	1026	0
0	0	59435	1027	0
0	0	59435	1027	0
0	0	59435	1026	0
0	0	59435	1027	0
0	0	59435	1027	0
0	0	59435	1026	0
0	0	59435	1027	0
56	0	3	3	2
0	0	3	3	2
0	0	3	3	2
0	0	59491	1026	0
0	0	59491	1027	0
0	0	59491	1026	0
0	0	59491	1027	0
0	0	59491	1026	0
0	0	59491	1026	0
1000	0	3	3	2
4	0	445	4420	1
136	0	137	137	0
4	0	445	3581	1
4	0	445	16787	1
48	48	123	123	0
0	0	8	0	2
0	0	3846	445	1
0	0	3846	445	1
4	0	445	2173	1
48	48	123	123	0
0	0	36988	22	1
0	0	42074	22	1
0	0	56229	22	1
300	0	137	137	0
300	0	137	137	0
1440	31713	1100	80	1
338	530	1101	80	1
54431	7357	1102	443	1
4	0	445	1457	1
4	0	445	2028	1
0	0	138	138	0
4	0	445	1819	1
550	0	36121	59879	1
4	0	445	4403	1
150	0	55626	137	0
0	0	55627	137	0
0	0	3	3	2
0	0	1243	1434	0
4	0	445	4420	1
4	0	445	3581	1
4	0	445	16787	1
